ID,EN,PL,RU,TR
noKey,No key provided,No key provided,No key provided,No key provided
Main.Account,Profile,Profil,Профиль,Profil
Main.Schedule,Schedule,Plan zajęć,Расписание,Takvim
Main.Settings,Settings,Ustawienie,Настройки,Ayarlar
Settings.locale,Language,Język,Язык,Dil
Settings.AlertDialog,Restart required,Wymagane ponowne uruchomienie,Требуется перезапуск,Yeniden Başlatma Gerekli
Setting.AlertDialog.Restart,Restart,Ponowne uruchomienie,Перезапуск,Yeniden Başlat
Login.Page.Email,E-mail,E-mail,E-mail,E-Posta
Login.Page.Password,Password,Hasło,Пароль,Parola
Login.Page.Hint.password,Enter password,Wprowadź hasło,Введите пароль,Parolayı girin
Login.Page.Hint.login,Enter e-mail,Wprowadź e-mail,Введите e-mail,E-Posta
Settings.AlertDialog.q,Restart now?,Ponownie uruchomić teraz?,Перезапустить сейчас?,Yeniden Başlatılsın mı?
Profile.signOut,Sign out,Wyloguj,Выйти из аккаунта,Cıkış Yap
Login.Page.btn,Sign in,Zaloguj,Войти,Giriş Yap
Settings.locale.choose,Select language,Wybierz język,Выбрать язык,Dil Seç
Settings.c.lang,Language,Język,Язык,Dil 
Settings.theme,Theme,Motyw,Тема,Tema
Settings.theme.choose,Select theme,Wybierz motyw,Выбрать тему,Tema Seç
Login.Page.error,Bad login or password,Błędny login lub hasło,Неправильный логин или пароль,Hatalı şifre veya kullanıcı adı
noSchedule.page,Log into your account to see Schedule,Zaloguj się na swoje konto aby zobaczyć plan,"Войдите в аккаунт, чтобы увидеть расписание",Planı görmek için lutfen giriş yapın
Calendar.monday,Monday,Poniedziałek,Понедельник,Pazartesi
Calendar.tuesday,Tuesday,Wtorek,Вторник,Salı
Calendar.wednesday,Wednesday,Środa,Среда,Çarsamba
Calendar.thursday,Thursday,Czwartek,Четверг,Perşembe 
Calendar.friday,Friday,Piątek,Пятница,Cuma
Calendar.saturday,Saturday,Sobota,Суббота,Cumartesi
Calendar.sunday,Sunday,Niedziela,Воскресенье,Pazartesi
Calendar.january,January,Styczeń,Январь,Ocak
Calendar.february,February,Luty,Февраль,Şubat
Calendar.march,March,Marzec,Март,Mart
Calendar.april,April,Kwiećeń,Апрель,Nisan
Calendar.may,May,Maj,Май,Mayis
Calendar.june,June,Czerwiec,Июнь,Haziran
Calendar.july,July,Lipiec,Июль,Temmuz
Calendar.august,August,Sierpeń,Август,Ağustos
Calendar.september,September,Wrzesień,Сентябрь,Eylül 
Calendar.october,October,Październik,Октябрь,Ekim 
Calendar.november,November,Listopad,Ноябрь,Kasım 
Calendar.december,December,Grudzień,Декабрь,Aralık 
Profile.Loading,Loading...,Ładowanie...,Загрузка,Yükleniyor
Schedule.date,Date,Data,Время,Tarih
Schedule.room,Room,Sala,Кабинет,Sınıf
Schedule.group,Group,Grupa,Группа,Grup
Schedule.teacher,Teacher,Profesor,Учитель,Eğitmen
Schedule.joinMeeting,Join meeting,Dołącz do spotkania,Присоединиться,Derse katıl
Static.HelpDialog,Help,Pomoc,Помощь,Yardım
Static.Wyklad,Lecture,Wyklad,Лекция ,Ders 
Static.Warsztaty,Workshops,Warsztaty,Мастерская,Atölye
Static.Labaratoria,Labratory,Laboratoria ,Лаборатория ,Laboratuvar
Static.Elearning,E-Learning ,E-Learning,E-Learning ,E-Learning
Static.Cwiczenia,Exercises ,Czwiczenia,Упражнения ,Egzersizler
Static.Lektorat,Readership,Lectorat,Лекторат,
Static.Projekt,Project,Projekt,Проект,Proje
Static.Praktyki,Practices ,Praktyki,Практика,Uygulamalar
Static.Seminarium,Seminar,Seminarium,Семинар,Seminer
Static.Konwersatorium,Conversation ,Konwersatorium ,Обсуждение,Konuşma
Static.Zaliczenie,Exam,Zaliczenie,Экзамен ,Sınav
Static.Rezerwacja,Reservation,Rezerwacja ,Резервация,Rezervasyon
Static.Dyzur,Standby,Dyżur ,Дежурство,
Static.Spotkanie,Meeting,Spotkanie,Встреча,Meeting
Static.HelpText1,Pull schedule list from the top to refresh.,Pociągnij od góry aby odświeżyć.,"Потяните расписание сверху, чтобы обновить его.",
Static.HelpText2,Pull schedule list from the bottom to get to the next month.,Pociągnij od dołu aby zmienić na następny miesiąc.,"Потяните расписание снизу, чтобы перейти на следующий месяц.",
Static.HelpText3,Tap the 'Schedule' button on the bottom-bar to get to today's date.,Wciśnij 'Plan zajęć' aby wyświetlić dzisiejszą datę.,"Нажмите на кнопку 'Расписание', чтобы перейти к сегодняшней дате.",Bugünün tarihini görmek için alt çubuktaki 'Planla' düğmesine dokunun.
Login.ask,Do you want to sign out?,Czy chcesz się wylogować?,"Уверены, что хотите выйти?",Çıkış mı yapmak istiyorsunuz?
Profile.Cancel,Cancel,Anuluj,Отменить,İptal et
Profile.Confirmation,Confirm,Potwierdź,Подтвердить,Onayla
Settings.notification,Notifications,Powiadomienia,Уведомления,Bildirimler
Event.CANCELLED,Canceled,Odwołane,Отменено,
Settings.notificationTime,Time before notifications,Czas przed powiadomieniem,Время до уведомлений,
Settings.time.choose,Select time,Wybierz czas,Выбрать время,
Settings.time.15mins,15 minutes,15 minut,15 минут,
Settings.time.30mins,30 minutes,30 minut,30 минут,
Settings.time.1hour,1 hour,1 godzina,1 час,
Settings.time.2hours,2 hours,2 godziny,2 часа,
